sites,timestamp,year,month,cld,tmp,pre
AU-GWW,2017-06-16T00:00:00Z,2017,6,40.7000007629395,12.6000003814697,2.90000009536743
AU-GWW,2017-07-16T00:00:00Z,2017,7,36.9000015258789,11.1000003814697,11
AU-GWW,2017-08-16T00:00:00Z,2017,8,33.2999992370605,12.3000001907349,18.6000003814697
AU-GWW,2017-09-16T00:00:00Z,2017,9,30.3000011444092,15.5,15.3000001907349
AU-GWW,2017-10-16T00:00:00Z,2017,10,23.5,19,3.10000014305115
AU-GWW,2017-11-16T00:00:00Z,2017,11,26.1000003814697,23.8000011444092,20.3999996185303
AU-GWW,2017-12-16T00:00:00Z,2017,12,21.1000003814697,25.6000003814697,3.29999995231628
AU-GWW,2018-01-16T00:00:00Z,2018,1,22.6000003814697,26.7000007629395,43
AU-GWW,2018-02-15T00:00:00Z,2018,2,27.1000003814697,25.1000003814697,103.800003051758
AU-GWW,2018-03-16T00:00:00Z,2018,3,30.8000011444092,24.3999996185303,7.70000028610229
AU-GWW,2018-04-16T00:00:00Z,2018,4,34.7999992370605,20.3000011444092,11
AU-GWW,2018-05-16T00:00:00Z,2018,5,31.3000011444092,15.3000001907349,2.60000014305115
AU-GWW,2018-06-16T00:00:00Z,2018,6,44.4000015258789,11.9000005722046,36.2999992370605
AU-GWW,2018-07-16T00:00:00Z,2018,7,35.2000007629395,12,27.8999996185303
AU-GWW,2018-08-16T00:00:00Z,2018,8,31,11.6000003814697,32.7000007629395
AU-GWW,2018-09-16T00:00:00Z,2018,9,19.8000011444092,15.1000003814697,3.60000014305115
AU-GWW,2018-10-16T00:00:00Z,2018,10,29.6000003814697,19.6000003814697,56.4000015258789
AU-GWW,2018-11-16T00:00:00Z,2018,11,27.3000011444092,21.7000007629395,54
AU-GWW,2018-12-16T00:00:00Z,2018,12,21.3999996185303,25.6000003814697,13.6999998092651
AU-GWW,2019-01-16T00:00:00Z,2019,1,21.2000007629395,26.3000011444092,21.3999996185303
AU-GWW,2019-02-15T00:00:00Z,2019,2,26.5,26.5,11.3000001907349
AU-GWW,2019-03-16T00:00:00Z,2019,3,30.8000011444092,24.5,22
AU-GWW,2019-04-16T00:00:00Z,2019,4,36.6000022888184,19.3999996185303,23.8000011444092
AU-GWW,2019-05-16T00:00:00Z,2019,5,29.5,14,9.19999980926514
AU-GWW,2019-06-16T00:00:00Z,2019,6,45.5,11.8000001907349,52.6000022888184
AU-GWW,2019-07-16T00:00:00Z,2019,7,30.3000011444092,11.4000005722046,6.5
AU-GWW,2019-08-16T00:00:00Z,2019,8,27.3999996185303,12.6000003814697,22.2000007629395
AU-GWW,2019-09-16T00:00:00Z,2019,9,15.1000003814697,16.8999996185303,0.800000011920929
AU-GWW,2019-10-16T00:00:00Z,2019,10,20.5,20.6000003814697,3.70000004768372
AU-GWW,2019-11-16T00:00:00Z,2019,11,24.8999996185303,23.7000007629395,0.100000001490116
AU-GWW,2019-12-16T00:00:00Z,2019,12,21,27.7000007629395,13.1999998092651
AU-GWW,2020-01-16T00:00:00Z,2020,1,21.2000007629395,26.3999996185303,18.3000011444092
AU-GWW,2020-02-15T00:00:00Z,2020,2,28.2000007629395,26.6000003814697,99
AU-GWW,2020-03-16T00:00:00Z,2020,3,31.2000007629395,23.7000007629395,22
AU-GWW,2020-04-16T00:00:00Z,2020,4,39.2999992370605,20.6000003814697,0.100000001490116
AU-GWW,2020-05-16T00:00:00Z,2020,5,37.4000015258789,14.4000005722046,30
AU-GWW,2020-06-16T00:00:00Z,2020,6,42.2000007629395,13.5,38.2999992370605
AU-GWW,2020-07-16T00:00:00Z,2020,7,29.8999996185303,12.1000003814697,27.8999996185303
AU-GWW,2020-08-16T00:00:00Z,2020,8,33.4000015258789,12.6000003814697,15.3000001907349
AU-GWW,2020-09-16T00:00:00Z,2020,9,23.3000011444092,16.3000011444092,15.1999998092651
AU-GWW,2020-10-16T00:00:00Z,2020,10,21,20,4.5
AU-GWW,2020-11-16T00:00:00Z,2020,11,28.8999996185303,22.3999996185303,32.6000022888184
AU-GWW,2020-12-16T00:00:00Z,2020,12,20.2000007629395,25.7000007629395,4.40000009536743
AU-Wom,2001-01-16T00:00:00Z,2001,1,42.6000022888184,21.8999996185303,29.3999996185303
AU-Wom,2001-02-15T00:00:00Z,2001,2,43.5,21.3999996185303,23.6000003814697
AU-Wom,2001-03-16T00:00:00Z,2001,3,48.9000015258789,16,62.5
AU-Wom,2001-04-16T00:00:00Z,2001,4,55.9000015258789,12.9000005722046,108.700004577637
AU-Wom,2001-05-16T00:00:00Z,2001,5,68.8000030517578,9.80000019073486,27
AU-Wom,2001-06-16T00:00:00Z,2001,6,70,8.60000038146973,80.7000045776367
AU-Wom,2001-07-16T00:00:00Z,2001,7,65.9000015258789,7.59999990463257,32.7999992370605
AU-Wom,2001-08-16T00:00:00Z,2001,8,59.7999992370605,8.10000038146973,100
AU-Wom,2001-09-16T00:00:00Z,2001,9,63.2000007629395,11,47.7999992370605
AU-Wom,2001-10-16T00:00:00Z,2001,10,56.4000015258789,11.1000003814697,98
AU-Wom,2001-11-16T00:00:00Z,2001,11,57.4000015258789,13.3000001907349,64.0999984741211
AU-Wom,2001-12-16T00:00:00Z,2001,12,55.1000022888184,14.3000001907349,30.1000003814697
AU-Wom,2002-01-16T00:00:00Z,2002,1,42.9000015258789,18,29.5
AU-Wom,2002-02-15T00:00:00Z,2002,2,47.1000022888184,17.8999996185303,75
AU-Wom,2002-03-16T00:00:00Z,2002,3,44.6000022888184,16.7000007629395,21.3999996185303
AU-Wom,2002-04-16T00:00:00Z,2002,4,55.9000015258789,14.6999998092651,39.7999992370605
AU-Wom,2002-05-16T00:00:00Z,2002,5,59.7000007629395,10.6000003814697,50.1000022888184
AU-Wom,2002-06-16T00:00:00Z,2002,6,63.5,8.10000038146973,70.5
AU-Wom,2002-07-16T00:00:00Z,2002,7,57.4000015258789,7.5,47.1000022888184
AU-Wom,2002-08-16T00:00:00Z,2002,8,50.2999992370605,7.90000009536743,50.9000015258789
AU-Wom,2002-09-16T00:00:00Z,2002,9,51,9.80000019073486,51.4000015258789
AU-Wom,2002-10-16T00:00:00Z,2002,10,54.5,12.5,45.2000007629395
AU-Wom,2002-11-16T00:00:00Z,2002,11,47.2999992370605,15.9000005722046,30.2000007629395
AU-Wom,2002-12-16T00:00:00Z,2002,12,45.7999992370605,17.7000007629395,22.3999996185303
AU-Wom,2003-01-16T00:00:00Z,2003,1,35.6000022888184,19.8000011444092,25.7000007629395
AU-Wom,2003-02-15T00:00:00Z,2003,2,43.9000015258789,20,23.5
AU-Wom,2003-03-16T00:00:00Z,2003,3,48.7000007629395,16.5,25.3000011444092
AU-Wom,2003-04-16T00:00:00Z,2003,4,56.7999992370605,13.6000003814697,55.5
AU-Wom,2003-05-16T00:00:00Z,2003,5,61.4000015258789,10.4000005722046,32.7999992370605
AU-Wom,2003-06-16T00:00:00Z,2003,6,74,8.30000019073486,61.4000015258789
AU-Wom,2003-07-16T00:00:00Z,2003,7,55.9000015258789,7.09999990463257,104.5
AU-Wom,2003-08-16T00:00:00Z,2003,8,61.5,6.90000009536743,103.900001525879
AU-Wom,2003-09-16T00:00:00Z,2003,9,54.6000022888184,8.19999980926514,58.2999992370605
AU-Wom,2003-10-16T00:00:00Z,2003,10,62.4000015258789,9.90000057220459,111.700004577637
AU-Wom,2003-11-16T00:00:00Z,2003,11,48,14.9000005722046,37
AU-Wom,2003-12-16T00:00:00Z,2003,12,42.2999992370605,18.6000003814697,41.2999992370605
AU-Wom,2004-01-16T00:00:00Z,2004,1,42,17,40.2000007629395
AU-Wom,2004-02-15T00:00:00Z,2004,2,34.7000007629395,19.6000003814697,23.7000007629395
AU-Wom,2004-03-16T00:00:00Z,2004,3,41.6000022888184,16.3999996185303,22.2000007629395
AU-Wom,2004-04-16T00:00:00Z,2004,4,55.2000007629395,13.8000001907349,50.6000022888184
AU-Wom,2004-05-16T00:00:00Z,2004,5,61.9000015258789,9.19999980926514,44.4000015258789
AU-Wom,2004-06-16T00:00:00Z,2004,6,74.3000030517578,7.80000019073486,87.2000045776367
AU-Wom,2004-07-16T00:00:00Z,2004,7,68,6.59999990463257,69.5999984741211
AU-Wom,2004-08-16T00:00:00Z,2004,8,60.5,8,100
