TIME,fapar_itpl,fapar_spl,gpp_mod,gpp_obs
20130518,0.289999999999793,0.294571129245863,1.07049834728241,0.71611
20130519,0.28,0.29108468404063,1.33148944377899,0.713559
20130520,0.277500000000052,0.287011835559779,1.2426495552063,0.950418
20130521,0.274999999999896,0.282596315034285,1.3437579870224,0.875039
20130522,0.272499999999948,0.278081853696249,1.43319427967072,0.671094
20130523,0.27,0.273712182776665,1.53495764732361,0.93837
20130524,0.27,0.269715076401987,1.46573078632355,0.820721
20130525,0.27,0.266254480279076,1.48803782463074,0.579588
20130526,0.27,0.263478383009898,1.17737972736359,0.650067
20130527,0.27,0.261534773196295,1.12693655490875,0.735425
20130528,0.27,0.260571639440565,0.726441144943237,0.919068
20130529,0.27,0.260736970344475,0.62378066778183,0.851439
20130530,0.27,0.26217875450999,1.03270936012268,0.61998
20130531,0.27,0.265044980539076,1.07594287395477,0.818425
20130601,0.27,0.269339147369949,0.608337223529816,0.608316
20130602,0.27,0.274486795286273,0.715919017791748,1.00672
20130603,0.27,0.279768974906618,0.786604642868042,1.23588
20130604,0.27,0.284466736850859,0.575222432613373,0.942462
20130605,0.272499999999948,0.287861131738469,1.50694751739502,1.06014
20130606,0.274999999999896,0.289233210188922,1.45234036445618,1.13158
20130607,0.277500000000052,0.287864022821444,1.42781639099121,1.14967
20130608,0.28,0.283034620255686,1.51103436946869,0.949073
20130609,0.2775,0.274355618180234,1.47550320625305,1.0041
20130610,0.275,0.262755892560071,1.32505762577057,1.44298
20130611,0.2725,0.249493884429286,1.2074613571167,1.42109
20130612,0.27,0.235828034821964,0.333030641078949,1.02554
20130613,0.239999999998133,0.223016784771199,1.07531428337097,1.05443
20130614,0.209999999998755,0.212318575313292,0.322238981723785,0.772461
20130615,0.179999999999378,0.204991847481212,0.679514944553375,0.92709
20130616,0.15,0.202295042309048,0.662761867046356,0.800169
20130617,0.182499999999326,0.205068326395321,0.940506637096405,1.05278
20130618,0.214999999998651,0.212478768596298,1.08434164524078,0.890445
20130619,0.247500000000674,0.223275163333685,1.1079136133194,1.28265
20130620,0.28,0.236206305026306,1.20082068443298,1.13744
20130621,0.277500000000052,0.250020988095636,1.17325508594513,1.66444
20130622,0.275000000000104,0.263468006962378,1.33492958545685,0.816426
20130623,0.272500000000156,0.275296156047236,1.44561922550201,0.837602
20130624,0.27,0.284254229771502,0.431483566761017,0.489514
20130625,0.2725,0.289414249130817,0.883526086807251,0.334148
20130626,0.275,0.291141141429318,1.13614141941071,0.833718
20130627,0.2775,0.290123060546773,0.837867379188538,0.731114
20130628,0.28,0.287048160362951,1.50510764122009,0.957779
20130629,0.277500000000052,0.282604594757619,1.49807691574097,0.875995
20130630,0.274999999999896,0.277480517610111,1.49676716327667,0.7936
20130701,0.272499999999948,0.272364082801095,1.47763681411743,0.702214
20130702,0.27,0.267943444209931,1.41648137569427,0.384249
20130703,0.27,0.264770845641246,1.29188466072083,0.799725
20130704,0.27,0.262854890599093,1.14997351169586,0.789567
20130705,0.27,0.262068272512386,0.977552652359009,0.819551
20130706,0.27,0.262283684810093,1.12143933773041,0.995506
20130707,0.27,0.263373820921081,1.19508492946625,1.04942
20130708,0.27,0.265211374274241,1.24520587921143,0.940415
20130709,0.27,0.267669038298485,1.22895312309265,0.335819
20130710,0.27,0.270619506422725,1.27667510509491,0.798731
