TIME,fapar_itpl,fapar_spl,gpp_mod,gpp_obs
20100402,0.8975,0.893485453424717,5.05769824981689,6.18031
20100403,0.895,0.892719932727478,9.28662395477295,9.1981
20100404,0.8925,0.891800933652463,9.50236129760742,7.43242
20100405,0.89,0.890722119271861,10.3051919937134,8.08167
20100406,0.888249999999891,0.889488973855627,3.52255725860596,4.64045
20100407,0.886499999999927,0.888154266465532,4.26549243927002,4.69717
20100408,0.884749999999964,0.886782587360914,4.95602416992188,5.67246
20100409,0.883,0.885438526801206,3.58133149147034,4.94911
20100410,0.880134615384675,0.884186675045845,3.41073131561279,5.23985
20100411,0.877269230769112,0.883091622354181,5.07892560958862,6.61613
20100412,0.874403846153787,0.882217958985836,2.69435143470764,4.73793
20100413,0.871538461538462,0.881630275200146,5.10111951828003,6.53146
20100414,0.87615384615375,0.881374872373956,3.34762668609619,5.48325
